,Code,GDPperCapita
377,DEU,46793.6867616004
378,GHA,2167.91158941087
380,GRC,19144.284387556
381,GRL,53256.2440862119
382,GRD,9887.92074235834
383,GUM,37752.633077142
384,GTM,4647.69334663252
385,GIN,1043.8998820932
386,GNB,730.611448705215
387,GUY,6477.29672607993
388,HTI,1324.84400548618
389,HND,2519.37019370185
390,HKG,48356.0635043614
391,HUN,16782.9524639857
392,ISL,68853.71521658
393,IND,2047.23270433512
394,IDN,4151.22754296453
395,IRN,3277.875595507
396,IRQ,5621.18169491752
397,IRL,80927.0746710666
398,IMN,87157.4714603395
399,ISR,44452.2325623093
400,ITA,33673.7509627421
401,JAM,5626.17117652759
402,JPN,40458.0018755824
403,JOR,4205.56365350106
404,KAZ,9812.5958082732
405,KEN,1970.10514317888
406,KIR,1432.17898537689
408,KOR,31902.4169048194
409,XKX,4416.10835754636
410,KWT,30667.3482202553
411,KGZ,1374.03210467421
412,LAO,2598.50552320723
413,LVA,17945.2222164984
414,LBN,8985.57249887356
415,LSO,1102.56486953249
416,LBR,665.878447568436
417,LBY,10542.1492864798
418,LIE,167019.618092859
419,LTU,19595.1415724355
420,LUX,112621.821337404
421,MAC,83183.1666089243
422,MDG,512.279659659088
423,MWI,584.362867276266
424,MYS,11132.0239344924
425,MDV,11118.5565375032
426,MLI,840.175765032737
427,MLT,31198.2414453028
428,MHL,5188.97111429082
429,MRT,1839.964449578
430,MUS,11405.7268191397
431,MEX,10145.1701829207
432,FSM,3699.08151446862
433,MDA,4493.37030323867
434,MCO,199377.481831603
435,MNG,4394.94714713374
436,MNE,8909.65333601178
437,MAR,3498.57397460938
438,MOZ,508.163674567861
439,MMR,1295.2014475589
440,NAM,5126.17614357634
441,NRU,9786.02652564979
442,NPL,1185.68267540752
443,NLD,52476.2732533327
444,NCL,34797.5186645024
445,NZL,42865.233643554
446,NIC,1890.27306467363
447,NER,550.963555536013
448,NGA,2204.18157415589
449,MKD,6070.38805358275
450,MNP,23707.3288138313
451,NOR,75719.7528965342
452,OMN,19132.1522739094
453,PAK,1437.16590678288
454,PLW,15567.0908684974
455,PAN,15826.0823544866
456,PNG,2593.80465015989
457,PRY,5807.83879407975
458,PER,6955.80995882668
459,PHL,3413.84792378255
460,POL,15699.9113500703
461,PRT,23330.817288932
462,PRI,32916.866800639
463,QAT,62637.2751084291
464,ROU,12958.0755553785
465,RUS,11536.2509765625
466,RWA,806.879981050775
467,WSM,4308.27275342784
468,SMR,47287.3983949924
469,STP,1991.73826385183
470,SAU,22430.238229402
471,SEN,1462.35433280275
472,SRB,7417.20364852201
473,SYC,17253.5056614424
474,SLE,506.606894364098
475,SGP,65831.1894308765
477,SVK,19383.4810445228
478,SVN,26016.078683914
479,SLB,2398.77275659429
480,SOM,405.786763279583
481,ZAF,6688.78727128797
483,ESP,29581.5185513299
484,LKA,4082.69461963515
485,KNA,23219.3314206225
486,LCA,11726.7697662964
488,VCT,8674.37100857481
489,SDN,748.010925292969
490,SUR,6690.04478601228
491,SWE,51939.4297445291
492,CHE,84121.9310304414
493,SYR,1116.67924613649
494,TJK,889.02026237745
495,TZA,1052.02172851563
496,THA,7630.03960991873
497,TLS,1584.26384378261
498,TGO,875.932659234798
499,TON,4879.0173416227
500,TTO,15690.9630955493
501,TUN,3477.88377711232
502,TUR,9103.04337531894
503,TKM,7344.64823305792
504,TCA,27795.1485608171
505,TUV,4949.17388770172
506,UGA,823.138950454868
507,UKR,3661.45629882813
508,ARE,45376.1708381558
509,GBR,42747.080460496
510,USA,65120.3946628653
511,URY,17859.9314960921
512,UZB,1784.00981608195
513,VUT,3076.58988588361
515,VNM,3491.09127354876
516,VIR,38596.0307118282
517,PSE,3656.85827137011
519,ZMB,1268.12094056241
520,ZWE,1421.86859641758
